"miRNA","mRNA","correlation"
"hsa-mir-190b","ENSG00000173467",0.677640279042857
"hsa-mir-934","ENSG00000094755",0.665295553222153
"hsa-mir-190b","ENSG00000091831",0.653720992810971
"hsa-mir-934","ENSG00000091831",-0.637523223109095
"hsa-mir-577","ENSG00000106541",-0.635797870085566
"hsa-mir-934","ENSG00000106541",-0.626653973599374
"hsa-mir-190b","ENSG00000160180",0.614174905712802
"hsa-mir-190b","ENSG00000106541",0.609310298581066
"hsa-mir-934","ENSG00000173467",-0.604530825938818
"hsa-mir-577","ENSG00000173467",-0.591666716188784
"hsa-mir-577","ENSG00000094755",0.581679254102616
"hsa-mir-577","ENSG00000091831",-0.579590503533306
"hsa-mir-135b","ENSG00000094755",0.575380927902131
"hsa-mir-934","ENSG00000104332",0.565880193532854
"hsa-mir-190b","ENSG00000160182",0.562973711694928
"hsa-mir-934","ENSG00000160180",-0.560757699613809
"hsa-mir-577","ENSG00000160180",-0.560392149211402
"hsa-mir-150","ENSG00000211899",0.554838983816493
"hsa-mir-934","ENSG00000205426",0.547740376789087
"hsa-mir-135b","ENSG00000091831",-0.54059257770716
"hsa-mir-150","ENSG00000211592",0.539321674566945
"hsa-mir-135b","ENSG00000205426",0.532916729440799
"hsa-mir-577","ENSG00000104332",0.526157006347287
"hsa-mir-135b","ENSG00000104332",0.522661548187408
"hsa-mir-135b","ENSG00000106541",-0.516152093556603
"hsa-mir-375","ENSG00000160180",0.515620142586282
"hsa-mir-135b","ENSG00000173467",-0.509129015892797
"hsa-mir-190b","ENSG00000235687",0.505686698423721
"hsa-mir-190b","ENSG00000175356",0.501824040886164
"hsa-mir-190b","ENSG00000082175",0.499191788669945
"hsa-mir-150","ENSG00000211896",0.499110065875401
"hsa-mir-190b","ENSG00000256612",0.498777737485896
"hsa-mir-190b","ENSG00000151892",0.497350624469117
"hsa-mir-577","ENSG00000175356",-0.491935327295854
"hsa-mir-934","ENSG00000151892",-0.489864539967417
"hsa-mir-135b","ENSG00000128422",0.48172709092154
"hsa-mir-135b","ENSG00000151892",-0.477132125831122
"hsa-mir-519a-1","ENSG00000106541",-0.468862083079439
"hsa-mir-224","ENSG00000173467",-0.468145880235585
"hsa-mir-934","ENSG00000128422",0.466332855726912
"hsa-mir-190b","ENSG00000094755",-0.466302666386389
"hsa-mir-375","ENSG00000106541",0.463328178124137
"hsa-mir-934","ENSG00000175356",-0.461303461974988
"hsa-mir-577","ENSG00000160182",-0.460948793481369
"hsa-mir-934","ENSG00000160182",-0.460506674698049
"hsa-mir-190b","ENSG00000251141",0.458762326750021
"hsa-mir-934","ENSG00000256612",-0.457114040575174
"hsa-mir-577","ENSG00000151892",-0.456521449298652
"hsa-mir-519a-1","ENSG00000091831",-0.454812813644121
"hsa-mir-135b","ENSG00000160180",-0.453702289798773
"hsa-mir-519a-1","ENSG00000173467",-0.452693633758684
"hsa-mir-934","ENSG00000148513",-0.451659274050289
"hsa-mir-190b","ENSG00000148513",0.451481977738832
"hsa-mir-224","ENSG00000091831",-0.448427808690464
"hsa-mir-934","ENSG00000003989",-0.445602371552609
"hsa-mir-31","ENSG00000128422",0.439594815977585
"hsa-mir-519a-1","ENSG00000094755",0.436803858412986
"hsa-mir-135b","ENSG00000186081",0.435527240142984
"hsa-mir-934","ENSG00000235687",-0.434791615892783
"hsa-mir-135b","ENSG00000175356",-0.434756509258326
"hsa-mir-577","ENSG00000235687",-0.432784344706425
"hsa-mir-375","ENSG00000160182",0.431160957988626
"hsa-mir-577","ENSG00000148513",-0.430538637092427
"hsa-mir-934","ENSG00000082175",-0.426341665038537
"hsa-mir-577","ENSG00000256612",-0.426113347438489
"hsa-mir-9-1","ENSG00000175356",-0.413807488706886
"hsa-mir-452","ENSG00000091831",-0.413414047817566
"hsa-mir-9-3","ENSG00000175356",-0.412966085968353
"hsa-mir-9-2","ENSG00000175356",-0.411952228960234
"hsa-mir-135a-2","ENSG00000082175",0.408395788148202
"hsa-mir-519a-1","ENSG00000160180",-0.40588823234342
"hsa-mir-31","ENSG00000186081",0.402531036515174
"hsa-mir-934","ENSG00000186081",0.402368225937273
"hsa-mir-577","ENSG00000003989",-0.400945768074027
"hsa-mir-135b","ENSG00000256612",-0.400563559633662
"hsa-mir-375","ENSG00000173467",0.399389378858542
"hsa-mir-190b","ENSG00000104332",-0.398337525367007
"hsa-mir-135b","ENSG00000186847",0.397389583757825
"hsa-mir-577","ENSG00000205426",0.396868159279018
"hsa-mir-135b","ENSG00000148513",-0.392835507565483
"hsa-mir-934","ENSG00000251141",-0.392824102631218
"hsa-mir-224","ENSG00000106541",-0.391218363538408
"hsa-mir-204","ENSG00000186847",0.391175381028527
"hsa-mir-135a-1","ENSG00000082175",0.391145249686257
"hsa-mir-577","ENSG00000082175",-0.391144899293429
"hsa-mir-9-3","ENSG00000091831",-0.391096917928207
"hsa-mir-9-2","ENSG00000091831",-0.390988018636557
"hsa-mir-9-1","ENSG00000091831",-0.39098707431385
"hsa-mir-224","ENSG00000151892",-0.390724487436653
"hsa-mir-452","ENSG00000173467",-0.390481342543651
"hsa-mir-519a-1","ENSG00000205426",0.388267950348662
"hsa-mir-135b","ENSG00000003989",-0.38630113597607
"hsa-mir-224","ENSG00000160180",-0.385246826098899
"hsa-mir-190b","ENSG00000003989",0.382081626167369
"hsa-mir-31","ENSG00000186847",0.381525730871299
"hsa-mir-6510","ENSG00000186847",0.38137402006531
"hsa-mir-934","ENSG00000162989",-0.377465607395889
"hsa-mir-519a-1","ENSG00000104332",0.372952715255399
"hsa-mir-184","ENSG00000110484",0.371659865555813
"hsa-mir-149","ENSG00000173467",0.370739756965198
"hsa-mir-6510","ENSG00000104332",0.370014317315568
"hsa-mir-105-1","ENSG00000185686",0.36983607034443
"hsa-mir-105-1","ENSG00000175356",-0.365953955788648
"hsa-mir-375","ENSG00000091831",0.364767424772465
"hsa-mir-135b","ENSG00000235687",-0.36460978478483
"hsa-mir-105-1","ENSG00000173467",-0.364548910239522
"hsa-mir-184","ENSG00000008196",0.364163528766824
"hsa-mir-105-1","ENSG00000091831",-0.363226834216392
"hsa-mir-105-2","ENSG00000185686",0.36229970272792
"hsa-mir-204","ENSG00000104332",0.361274338147518
"hsa-mir-375","ENSG00000094755",-0.359950389307985
"hsa-mir-224","ENSG00000175356",-0.359414692099924
"hsa-mir-105-2","ENSG00000173467",-0.357733054660179
"hsa-mir-105-2","ENSG00000091831",-0.354699757251905
"hsa-mir-519a-1","ENSG00000175356",-0.354394089087614
"hsa-mir-767","ENSG00000185686",0.354289774290266
"hsa-mir-105-2","ENSG00000175356",-0.351966108011079
"hsa-mir-31","ENSG00000104332",0.351927003226218
"hsa-mir-135b","ENSG00000162989",-0.350873447413102
"hsa-mir-767","ENSG00000091831",-0.350730379486498
"hsa-mir-9-1","ENSG00000151892",-0.348483719200139
"hsa-mir-9-2","ENSG00000173467",-0.348180214052741
"hsa-mir-224","ENSG00000160182",-0.347965787210058
"hsa-mir-6510","ENSG00000094755",0.34754772643768
"hsa-mir-9-1","ENSG00000173467",-0.347524682625074
"hsa-mir-9-3","ENSG00000173467",-0.347200296539023
"hsa-mir-9-2","ENSG00000151892",-0.346847908411867
"hsa-mir-10a","ENSG00000173467",0.346771491800081
"hsa-mir-9-3","ENSG00000151892",-0.34663570898256
"hsa-mir-205","ENSG00000186081",0.346531726273246
"hsa-mir-577","ENSG00000128422",0.345890388908198
"hsa-mir-105-2","ENSG00000148513",-0.344971841845383
"hsa-mir-190b","ENSG00000205426",-0.344244251128597
"hsa-mir-190b","ENSG00000185686",-0.343579499313765
"hsa-mir-149","ENSG00000091831",0.343321675278062
"hsa-mir-452","ENSG00000104332",0.342291809011821
"hsa-mir-105-1","ENSG00000148513",-0.34117210795548
"hsa-mir-577","ENSG00000251141",-0.339929583851855
"hsa-mir-9-1","ENSG00000106541",-0.339228408241101
"hsa-mir-135b","ENSG00000082175",-0.33885630851633
"hsa-mir-184","ENSG00000124935",0.338743774676333
"hsa-mir-224","ENSG00000251141",-0.338728303509545
"hsa-mir-9-2","ENSG00000106541",-0.33865826744312
"hsa-mir-9-3","ENSG00000106541",-0.338348864665272
"hsa-mir-767","ENSG00000173467",-0.337725569142982
"hsa-mir-934","ENSG00000186847",0.337485178795981
"hsa-mir-767","ENSG00000175356",-0.337268535689305
"hsa-mir-577","ENSG00000186081",0.337255549309025
"hsa-mir-10a","ENSG00000175356",0.337029898039309
"hsa-mir-519a-1","ENSG00000148513",-0.336537708691844
"hsa-mir-135b","ENSG00000160182",-0.335035834671806
"hsa-mir-6510","ENSG00000186081",0.334603976635437
"hsa-mir-519a-1","ENSG00000256612",-0.334061408410821
"hsa-mir-105-2","ENSG00000235687",-0.333636431840471
"hsa-mir-9-1","ENSG00000082175",-0.333566129260545
"hsa-mir-9-3","ENSG00000082175",-0.332743392100781
"hsa-mir-9-2","ENSG00000082175",-0.332583335603743
"hsa-mir-577","ENSG00000100867",-0.33170875723124
"hsa-mir-105-1","ENSG00000235687",-0.331639930651004
"hsa-mir-519a-1","ENSG00000235687",-0.330022012452434
"hsa-mir-149","ENSG00000106541",0.32992203032145
"hsa-mir-190b","ENSG00000110484",0.329651281429692
"hsa-mir-224","ENSG00000082175",-0.328689098341084
"hsa-mir-205","ENSG00000128422",0.328379509914999
"hsa-mir-205","ENSG00000186847",0.327715319884526
"hsa-mir-519a-1","ENSG00000160182",-0.327393956785429
"hsa-mir-204","ENSG00000186081",0.326666091177875
"hsa-mir-577","ENSG00000185686",0.326408431653282
"hsa-mir-452","ENSG00000106541",-0.324294474165198
"hsa-mir-767","ENSG00000148513",-0.324241683450814
"hsa-mir-135a-2","ENSG00000164128",0.323904567928642
"hsa-mir-31","ENSG00000094755",0.323844150431226
"hsa-mir-6510","ENSG00000128422",0.322850298273992
"hsa-mir-190b","ENSG00000124935",0.322667166788435
"hsa-mir-577","ENSG00000159763",-0.322536762202653
"hsa-mir-105-1","ENSG00000160182",-0.322014503712909
"hsa-mir-519a-1","ENSG00000151892",-0.321277622829614
"hsa-mir-184","ENSG00000186160",0.320748680043419
"hsa-mir-190b","ENSG00000138696",0.320198388863
"hsa-mir-184","ENSG00000172551",0.319349720914972
"hsa-mir-577","ENSG00000162989",-0.319096412876641
"hsa-mir-187","ENSG00000091831",-0.319011006946916
"hsa-mir-452","ENSG00000094755",0.318598008468998
"hsa-mir-519a-1","ENSG00000003989",-0.3172259056687
"hsa-mir-105-2","ENSG00000160182",-0.315601022523016
"hsa-mir-452","ENSG00000151892",-0.315492274692836
"hsa-mir-934","ENSG00000185686",0.315099267650862
"hsa-mir-135a-1","ENSG00000164128",0.314598272297765
"hsa-mir-10a","ENSG00000106541",0.314444380312474
"hsa-mir-105-1","ENSG00000082175",-0.312229006393919
"hsa-mir-190b","ENSG00000162989",0.311918677835783
"hsa-mir-190b","ENSG00000081479",0.311879485873523
"hsa-mir-149","ENSG00000160180",0.311297403893627
"hsa-mir-184","ENSG00000160182",0.311239109496235
"hsa-mir-10a","ENSG00000160180",0.310762873492655
"hsa-mir-105-1","ENSG00000151892",-0.310513391202023
"hsa-mir-105-1","ENSG00000251141",-0.309535112853008
"hsa-mir-204","ENSG00000128422",0.309356087678354
"hsa-mir-190b","ENSG00000153002",0.30771986274138
"hsa-mir-105-1","ENSG00000160180",-0.3075892825506
"hsa-mir-31","ENSG00000205426",0.307103618062448
"hsa-mir-184","ENSG00000134240",0.306395148904316
"hsa-mir-449a","ENSG00000106541",0.305540785104074
"hsa-mir-452","ENSG00000160180",-0.305156179301651
"hsa-mir-519a-1","ENSG00000082175",-0.30480809114612
"hsa-mir-105-1","ENSG00000003989",-0.304793120630111
"hsa-mir-9-2","ENSG00000256612",-0.304611093345004
"hsa-mir-934","ENSG00000178372",0.30433896805111
"hsa-mir-205","ENSG00000012223",0.304215585631021
"hsa-mir-105-2","ENSG00000160180",-0.304122776357865
"hsa-mir-452","ENSG00000251141",-0.303822331877674
"hsa-mir-105-1","ENSG00000106541",-0.303335552349414
"hsa-mir-105-2","ENSG00000251141",-0.302931787482145
"hsa-mir-9-3","ENSG00000256612",-0.302829165368309
"hsa-mir-767","ENSG00000235687",-0.302715579667675
"hsa-mir-9-1","ENSG00000256612",-0.302499350483897
"hsa-mir-9-3","ENSG00000148513",-0.302079919816142
"hsa-mir-9-1","ENSG00000148513",-0.301946400227946
"hsa-mir-149","ENSG00000094755",-0.301855087758518
"hsa-mir-9-2","ENSG00000148513",-0.3016196746619
"hsa-mir-375","ENSG00000175356",0.301478194389593
"hsa-mir-375","ENSG00000151892",0.301391530857283
"hsa-mir-767","ENSG00000160182",-0.301262868262291
"hsa-mir-934","ENSG00000153002",-0.30124649022036
"hsa-mir-519a-1","ENSG00000159763",-0.301065864318935
"hsa-mir-105-2","ENSG00000082175",-0.300591562437987
"hsa-mir-375","ENSG00000104332",-0.300542723503059
"hsa-mir-135b","ENSG00000251141",-0.300539999966131
