"gene","HR","lower_95","upper_95","p_value"
"ENSG00000095637",0.705037608750527,0.586793641901577,0.847108752136133,0.000190365890811076
"ENSG00000162733",0.771171450883566,0.638163395079849,0.931901471069886,0.00714238166423484
"ENSG00000155886",0.826388775156985,0.699958624157384,0.975655394670742,0.0243931172614737
"ENSG00000173208",0.742387519021325,0.555489024877491,0.99216942858626,0.0441050521296348
"ENSG00000118596",0.801468386684518,0.644623061930325,0.996476255334647,0.0464003809714111
"ENSG00000132170",0.812260884346279,0.658580096259673,1.00180334629922,0.0520008146474907
"ENSG00000154736",0.831767380681601,0.690504677731421,1.0019294551905,0.0524202640691356
"ENSG00000137727",0.773489025219892,0.593549262552902,1.00797913481073,0.0572840124285326
"ENSG00000170373",0.899411651040887,0.805316567164634,1.00450102607006,0.0600656699761714
"ENSG00000079308",0.807615452678559,0.644146187119748,1.01256940186458,0.0640670180255319
"ENSG00000187730",1.26737730852001,0.983840604085712,1.63262751657228,0.0666723276074198
"ENSG00000166851",1.17748246509446,0.987403599564031,1.40415221923143,0.0689355929219613
"ENSG00000105971",0.829425281654284,0.675480302493237,1.01845500943261,0.0741979366493457
"ENSG00000127564",1.17866063073626,0.976656891848686,1.4224451739832,0.0865807247598152
"ENSG00000124493",1.10529015483556,0.985286864838002,1.23990927918975,0.087786847121802
"ENSG00000165410",0.759562863107619,0.551224864495782,1.04664317626524,0.0927114557808579
"ENSG00000068976",1.23358839391543,0.952354291085425,1.59787207328954,0.111795892741047
"ENSG00000169258",1.1857234042306,0.960659039331989,1.46351612151368,0.112684746461726
"ENSG00000165474",0.903212431807871,0.795151521591999,1.02595879504696,0.117400525704477
"ENSG00000121691",0.782054689681414,0.573686703904731,1.06610373482572,0.119933766102155
"ENSG00000164330",0.837825849391244,0.668787616894037,1.04958904168732,0.123802257200921
"ENSG00000103253",1.14922081929745,0.962135680363503,1.37268424657915,0.124984309321969
"ENSG00000105974",0.860388541171422,0.707358059863153,1.04652577496933,0.13236049305575
"ENSG00000100162",1.19275726582005,0.945673959232696,1.5043978754801,0.136664407612427
"ENSG00000162407",0.823287825123847,0.636521745166889,1.06485418313469,0.13853266335682
"ENSG00000056998",0.878076302878793,0.736187979902147,1.04731130462056,0.148203615853712
"ENSG00000165197",0.810339079373321,0.608565881171415,1.079011235884,0.150020817058498
"ENSG00000051180",1.18052943258632,0.935959713786764,1.48900611925279,0.161155882598936
"ENSG00000172156",0.805134609335826,0.593424468297621,1.09237447018319,0.163807889478933
"ENSG00000104415",0.88779048090007,0.749525076782259,1.05156179878655,0.16823234317172
"ENSG00000077152",1.14735002930767,0.937157861205562,1.40468553297827,0.183079093153942
"ENSG00000123612",0.859622641886964,0.684243576749531,1.0799532674535,0.193850091726581
"ENSG00000213186",0.82275922518819,0.610351028712228,1.10908757549,0.200395499180117
"ENSG00000029559",0.881039823247916,0.723463268077878,1.07293791461042,0.207765675877423
"ENSG00000108381",0.814329201785723,0.589130586654596,1.12561130571508,0.213665179795893
"ENSG00000133800",0.866031075334571,0.689358447953672,1.08798234890937,0.216612753064319
"ENSG00000181856",1.16017108911723,0.912618698426612,1.47487330507692,0.225032133454834
"ENSG00000099260",0.88727041535718,0.72891383700628,1.08002997062233,0.23309761747187
"ENSG00000124615",1.16476661940079,0.898411405136198,1.51008910830186,0.249604867287208
"ENSG00000122641",0.909165364375024,0.772544020695935,1.06994765040645,0.251714738366952
"ENSG00000165124",0.91678870030913,0.789633479894827,1.064419813008,0.2540994368065
"ENSG00000172061",0.935717361138052,0.833372192321807,1.05063138415477,0.260913643083266
"ENSG00000146670",1.10467260350737,0.922050370245174,1.32346518185906,0.280261273191654
"ENSG00000175063",1.08588654704546,0.933201275459741,1.26355334488093,0.286535574256779
"ENSG00000132837",0.817347301823808,0.56354011852686,1.1854641574499,0.287712600768509
"ENSG00000079462",1.14924441409589,0.886492847287895,1.48987408908182,0.293587192725349
"ENSG00000122729",0.840249699440899,0.607019987736369,1.16309112001951,0.294072385756921
"ENSG00000180354",1.12795586696118,0.898516226572801,1.41598381886214,0.29940512700915
"ENSG00000119927",0.882876182588278,0.694189041593825,1.12285027143618,0.309895595974885
"ENSG00000172901",0.812347230669207,0.541422990227672,1.21884004759095,0.315397276239188
"ENSG00000198624",0.908470491497269,0.752984454216151,1.09606331086933,0.316216735848408
"ENSG00000259347",0.573889501837168,0.193286133852839,1.7039461328854,0.31724876443306
"ENSG00000286214",0.882882527948043,0.691349868459699,1.12747769793112,0.318116404583962
"ENSG00000152270",0.915240442280254,0.768123201529423,1.09053478077145,0.321876574094197
"ENSG00000134057",1.11961722058263,0.893096508685312,1.40359155862166,0.327252905921949
"ENSG00000175445",0.936090893571322,0.820207511275337,1.06834691097214,0.327350615530152
"ENSG00000090889",1.09241767427935,0.914002875357541,1.30565932258263,0.33125808175494
"ENSG00000183010",1.13320661845942,0.8800147823271,1.45924507850246,0.332412802049153
"ENSG00000203805",0.923519431030287,0.78537226016624,1.08596672272328,0.335848912179815
"ENSG00000170509",0.715764892701354,0.360886003173925,1.41961554928157,0.338511828733296
"ENSG00000168497",0.926977099414793,0.792341442779267,1.08449021652253,0.343644520431669
"ENSG00000109686",0.882071293774297,0.679075505936344,1.14574853679614,0.347035499022225
"ENSG00000261327",0.857157883900676,0.62093416901034,1.18324884440503,0.348743602796773
"ENSG00000186871",1.11034002122226,0.889545612828028,1.38593788216027,0.354825888642228
"ENSG00000167900",1.09724001906237,0.90129662904612,1.33578182879278,0.355188727332571
"ENSG00000162073",1.1097194169827,0.887868547507156,1.38700395220218,0.360271931584787
"ENSG00000261742",0.86368951721345,0.628169134161625,1.18751390601193,0.367029190966229
"ENSG00000178999",1.08102596158727,0.911084586617581,1.28266589819525,0.371944818669391
"ENSG00000183682",0.905179216940584,0.723955742783574,1.13176727023507,0.382112850871299
"ENSG00000123500",0.953722117425596,0.856163358489794,1.06239757663912,0.389455816107098
"ENSG00000163545",0.898433215686957,0.702223209231504,1.14946676845524,0.394249835582424
"ENSG00000161888",1.09603597632596,0.887141150980327,1.35411919520736,0.395337675346862
"ENSG00000205726",0.868275903361583,0.62483905402577,1.20655557539347,0.40011875486015
"ENSG00000060718",0.962182767593784,0.879071182073182,1.05315211911629,0.402935284807462
"ENSG00000117399",1.06919832560036,0.913426648451126,1.251534604782,0.404937127385961
"ENSG00000232679",1.15698352880047,0.820318388950628,1.63181869862504,0.405922509401581
"ENSG00000126787",0.926124108025604,0.772561668228499,1.1102102249429,0.406709130456635
"ENSG00000176438",0.915909087449866,0.743147533513691,1.12883299565952,0.410143220831772
"ENSG00000077157",0.893064166272701,0.682200179724205,1.16910494717663,0.410502095772042
"ENSG00000025423",0.898618283758605,0.689613544299017,1.17096716933843,0.428690316564361
"ENSG00000101057",1.05425029500271,0.924701873177068,1.20194812701593,0.42968458434003
"ENSG00000162062",1.10194915862564,0.865192994012476,1.40349258096079,0.431494128105615
"ENSG00000230838",0.928062517262707,0.768969459044451,1.12007053832577,0.436499412549359
"ENSG00000135451",1.0749332506307,0.895609348984936,1.29016238454977,0.437759339446255
"ENSG00000138640",0.903279412616584,0.698281613175353,1.1684593749314,0.438611117143834
"ENSG00000164611",1.07587093362518,0.893575579285455,1.29535575126741,0.440090184274016
"ENSG00000083782",0.940174269315001,0.801514780913919,1.10282140483312,0.448592214180101
"ENSG00000123243",0.942391049569097,0.806830041745311,1.10072858515138,0.453976577010093
"ENSG00000134690",1.07241057285924,0.892443226075139,1.28866957939513,0.455740168733741
"ENSG00000024526",0.937456994595785,0.790888541505908,1.11118769661679,0.456546341284378
"ENSG00000179921",0.82628197818353,0.493578514624077,1.38324883932779,0.467928937655725
"ENSG00000164087",1.11101546320166,0.829188584844652,1.48863042983696,0.480674730166526
"ENSG00000112984",1.06341530387144,0.892243180017773,1.26742589221635,0.492299190259307
"ENSG00000087586",1.06566677594911,0.888639669106264,1.27795969147307,0.492596982715338
"ENSG00000255471",0.865061554626207,0.570349500083734,1.31205777016101,0.495211914461375
"ENSG00000237649",1.06576563767491,0.886880849064804,1.28073167398567,0.49686648218621
"ENSG00000215483",1.19210140694958,0.710946678548675,1.99889219167916,0.50521181602711
"ENSG00000115306",0.90412916699857,0.671349780609628,1.21762093952758,0.506969162460846
"ENSG00000174059",0.925320600458182,0.728644696030065,1.17508329957975,0.52437323084547
"ENSG00000280339",0.92531589597354,0.718422849864058,1.19179047200869,0.547752124226664
"ENSG00000135127",1.06837568951884,0.858475259894835,1.3295975635858,0.553426019770908
"ENSG00000117724",0.951926661609943,0.807264424852891,1.12251245216087,0.558006857733602
"ENSG00000101447",1.04733934192844,0.895854699486989,1.22443929554563,0.56173864133853
"ENSG00000168078",1.05540316148079,0.87959340698856,1.26635309497963,0.561913971810774
"ENSG00000148180",0.929688742628895,0.724595995156876,1.19283181793431,0.566427299263195
"ENSG00000171848",1.05075930130628,0.886730489545122,1.24513042271508,0.567482403884774
"ENSG00000165028",0.915462128693082,0.674282698458621,1.24290733098604,0.571293491559227
"ENSG00000245812",0.835965842313467,0.449282155273414,1.55545659072433,0.571709393649043
"ENSG00000105664",1.03316590375487,0.921709699304915,1.15809976339253,0.575337604625517
"ENSG00000101003",1.06288716598568,0.857512608632168,1.31744899870233,0.577706940069536
"ENSG00000165304",0.954241893691262,0.809144397091513,1.12535858240949,0.577819573203718
"ENSG00000185271",0.80994132676684,0.383139425960505,1.71218336813098,0.581002431445555
"ENSG00000124743",0.920516738338834,0.685164655976469,1.23671158191071,0.582499172795469
"ENSG00000120049",0.946728240411716,0.778524084869083,1.15127377381496,0.583343626710505
"ENSG00000279204",0.836328638669027,0.437995414940814,1.59692446084739,0.588096801351519
"ENSG00000168477",0.96218534755672,0.8338333079229,1.11029462874185,0.597705937970216
"ENSG00000134962",0.933380715849832,0.713582614991011,1.22088114595017,0.614804502461515
"ENSG00000276043",1.05241657597483,0.862135467962985,1.28469444831395,0.615604619864505
"ENSG00000118193",0.958931551310378,0.81364427977799,1.13016184462015,0.616886453224911
"ENSG00000164849",0.878559030901444,0.528213264040903,1.46127714566197,0.617948188566944
"ENSG00000066279",0.961632314269962,0.823112840883147,1.12346286185503,0.622016098764055
"ENSG00000099953",0.969795167147516,0.85721957998182,1.09715490428091,0.626134472792833
"ENSG00000244734",1.03881272433069,0.890690309768394,1.21156799888388,0.627577324530663
"ENSG00000108960",0.94031517645343,0.731778782925888,1.20827858322614,0.63048225268998
"ENSG00000138160",0.950658388426086,0.77241281671027,1.17003673674653,0.632906256565334
"ENSG00000135476",1.04716964259765,0.866323133667296,1.26576818482976,0.633726502533624
"ENSG00000174804",0.947494859674771,0.757556460526309,1.18505557788578,0.636573402674057
"ENSG00000011426",1.03837786238798,0.883916989173908,1.2198301405035,0.64672944738637
"ENSG00000167779",0.955350199163099,0.782324822673858,1.16664328753053,0.654110166886628
"ENSG00000196611",1.02301434215214,0.92588990434421,1.13032698524803,0.654829746753364
"ENSG00000152253",1.05997999064393,0.818976479406561,1.371904577015,0.658056999172653
"ENSG00000169744",0.945051053986877,0.735121875757559,1.21492982877339,0.659242973655815
"ENSG00000138180",0.962033773000272,0.807777513324314,1.14574739346768,0.664227252907378
"ENSG00000258311",0.806530859872124,0.304754759404985,2.13447701094517,0.665009312985062
"ENSG00000149090",0.958923475007143,0.791700808259515,1.16146683358994,0.667921537118543
"ENSG00000123485",1.03974068922513,0.865366538930359,1.24925179354243,0.677346736723361
"ENSG00000122952",1.04907676983362,0.836755082777692,1.31527383777715,0.677957035357092
"ENSG00000105011",0.955487894394979,0.769211373021601,1.18687417835372,0.680682152462987
"ENSG00000131471",0.965365792933797,0.815682113624074,1.14251753054401,0.681773697327451
"ENSG00000158402",1.04837978863346,0.833056817859856,1.31935800494227,0.687105493189038
"ENSG00000211445",1.03141460131266,0.887128805557185,1.19916755395267,0.687468079224565
"ENSG00000076382",1.04029353554251,0.856688535534472,1.26324865479421,0.69010202904572
"ENSG00000022267",0.969249541552131,0.831057940930806,1.13042018796766,0.690656497208265
"ENSG00000135437",0.915273886848504,0.576859748727111,1.4522183074747,0.706999516901355
"ENSG00000186185",1.0331293718275,0.868299776685761,1.22924861619417,0.713226582725344
"ENSG00000088325",1.03157396741576,0.8729747426693,1.21898698580448,0.715129705230983
"ENSG00000174371",0.968268219897797,0.813682787477418,1.1522221682612,0.716340395442554
"ENSG00000183549",1.05839248667821,0.775121619459258,1.44518566859012,0.721020493953449
"ENSG00000101605",1.04977777184777,0.802572492454258,1.37312626663251,0.722895157442078
"ENSG00000137745",0.980857456370322,0.881241532211903,1.09173400770439,0.7235440952032
"ENSG00000142945",1.02947111106558,0.868639848851808,1.2200807618019,0.737534310105315
"ENSG00000186642",0.964105958460579,0.778154298289948,1.19449356147211,0.738110657132577
"ENSG00000183856",1.02873441589641,0.866853805389864,1.22084542038061,0.745712377856502
"ENSG00000160161",0.974676906733423,0.828303493111926,1.146916656056,0.75737235925946
"ENSG00000121152",1.02994369236865,0.850179965459931,1.24771701586275,0.763049495399948
"ENSG00000035499",0.968407018081203,0.783241621176015,1.19734718803736,0.766849301007979
"ENSG00000156970",1.02932858635697,0.848586527618832,1.24856724000166,0.769202331994625
"ENSG00000075218",1.0289712648403,0.849285283668013,1.24667397896525,0.770545140151649
"ENSG00000173641",1.02680516168442,0.853310552283354,1.23557459501763,0.779386914253523
"ENSG00000077616",1.05700340978805,0.706279029815719,1.58189067087986,0.787547652035907
"ENSG00000109805",1.0237097143157,0.852961714032535,1.22863847455686,0.801276201243489
"ENSG00000170312",0.977151645794587,0.811913464238528,1.17601860411882,0.806808828554784
"ENSG00000123975",1.02839353980762,0.820078345993783,1.28962467779398,0.808446750131801
"ENSG00000143228",1.02075061142979,0.860710204669653,1.21054892236834,0.813397112139451
"ENSG00000075702",1.02586626475239,0.828044498222361,1.27094811379861,0.815262085944627
"ENSG00000089685",1.01838673911037,0.86950081399559,1.19276662390925,0.821253350993697
"ENSG00000143476",0.97983614479391,0.804355773930849,1.19359977482692,0.839675530886128
"ENSG00000169418",0.983152742452668,0.798483008427159,1.21053210248791,0.872831088863176
"ENSG00000165480",1.01603703741981,0.829403118955161,1.24466768669654,0.877893385154953
"ENSG00000166803",1.01859429062752,0.804878917359334,1.28905641149472,0.878130539870202
"ENSG00000076555",0.986963853078071,0.831647943632895,1.17128606490332,0.880604507583588
"ENSG00000154839",1.01402489949067,0.842202421686483,1.22090185246443,0.883110951183077
"ENSG00000111206",0.988840277190868,0.848129998846226,1.15289530511254,0.886057241965452
"ENSG00000004776",1.01438105065942,0.831749600998031,1.23711380769192,0.88788291175709
"ENSG00000116678",0.987622190744534,0.8182892577479,1.19199608502197,0.896732625008779
"ENSG00000100526",0.985045179047201,0.78409117527463,1.23750149901161,0.897013052694218
"ENSG00000171227",1.01412224521945,0.8196104154121,1.25479607007169,0.897302032591089
"ENSG00000165810",1.01114632190352,0.85438873063077,1.19666475884367,0.897381082967693
"ENSG00000092853",1.01241362659696,0.831898102975785,1.23209963774738,0.902004537331729
"ENSG00000175643",0.986687011428588,0.795123530664696,1.22440252486054,0.903141669691138
"ENSG00000145708",1.02847084697827,0.615117036060511,1.71959516819518,0.914754187364781
"ENSG00000117650",1.00962773343436,0.839950856048556,1.21358071460895,0.918703150814538
"ENSG00000113368",1.00894732223729,0.815159381468318,1.24880449417898,0.93476024151306
"ENSG00000135424",1.00727861265534,0.845807756162884,1.19957543084704,0.935158828178655
"ENSG00000109674",1.00942390720664,0.804591926628468,1.26640175064896,0.935395516194611
"ENSG00000129810",1.00791694974554,0.809681020486435,1.25468740390386,0.943736510008468
"ENSG00000079435",0.995223718101129,0.862372789282903,1.14854070232741,0.947781828501068
"ENSG00000169679",1.00509649886708,0.8438274610794,1.1971866508618,0.95456883014966
"ENSG00000137812",1.00449711608732,0.824456970030647,1.22385338823716,0.964486065683903
"ENSG00000143549",0.990697307351015,0.642649351608902,1.52724211474791,0.966240343457848
"ENSG00000157456",1.00333636685128,0.834430483702938,1.20643227291864,0.971748859032948
"ENSG00000170145",0.994969574251935,0.741243267278801,1.33554596363669,0.973214930146283
"ENSG00000080986",1.00295645794113,0.83580597621932,1.20353489344023,0.97468177916321
"ENSG00000131747",0.997912136882706,0.860962557585347,1.15664569169036,0.977860897178098
"ENSG00000072571",1.00166890543221,0.820930786687598,1.22219876800843,0.986895511610914
"ENSG00000148773",1.00115736697794,0.853610373303465,1.17420793467545,0.988655014271292
"ENSG00000137807",1.0011656906645,0.817728993034626,1.22575174501767,0.990998359240669
"ENSG00000169607",0.998905663173905,0.823208384254421,1.21210199386467,0.99114890341067
"ENSG00000111665",1.00065645693596,0.832693429595604,1.20249939439766,0.994414905868344
"ENSG00000163815",0.999212474744312,0.788810485600547,1.26573567150862,0.994789286492384
